species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
1677,4946,1,2410.81,4,55,2,227,16311.395625,0,-527.81,0.21818181818181817,18.470190656565716
1677,4946,2,1883.56,4,54,2,239,17327.256111111114,0,-136.55999999999995,-0.5370370370370371,-22.93919238683133
1677,4946,3,1747.2399999999998,4,52,2,210,16088.539722222222,0,24.76000000000022,-0.25,-3.3830288461538376
1677,4946,4,1772.41,4,49,2,197,15912.622222222222,1,-172.41000000000008,-0.42857142857142855,21.180385487528355
1677,4946,5,1600.0,4,44,3,176,16950.46111111111,2,40.0,-0.11363636363636363,21.251736111111065
1677,4946,6,1640.25,4,47,5,171,17885.5375,3,56.75,0.2553191489361702,-137.89273823877065
1677,4946,7,1697.4400000000003,4,61,8,183,11404.578802777778,0,49.55999999999972,-0.2459016393442623,32.3399148907104
1677,139965,1,9.0,4,55,2,227,16311.395625,0,3.0,0.21818181818181817,18.470190656565716
1677,139965,2,12.25,4,54,2,239,17327.256111111114,0,11.75,-0.5370370370370371,-22.93919238683133
1677,139965,3,24.010000000000005,4,52,2,210,16088.539722222222,0,0.9899999999999949,-0.25,-3.3830288461538376
1677,139965,4,25.0,4,49,2,197,15912.622222222222,1,0.0,-0.42857142857142855,21.180385487528355
1677,139965,5,25.0,4,44,3,176,16950.46111111111,2,4.0,-0.11363636363636363,21.251736111111065
1677,139965,6,29.160000000000004,4,47,5,171,17885.5375,3,29.839999999999996,0.2553191489361702,-137.89273823877065
1677,139965,7,59.290000000000006,4,61,8,183,11404.578802777778,0,46.709999999999994,-0.2459016393442623,32.3399148907104
1677,334013,5,1.0,4,44,3,176,16950.46111111111,2,6.0,-0.11363636363636363,21.251736111111065
1677,334013,6,7.839999999999999,4,47,5,171,17885.5375,3,6.160000000000001,0.2553191489361702,-137.89273823877065
1677,334013,7,14.44,4,61,8,183,11404.578802777778,0,-1.4399999999999995,-0.2459016393442623,32.3399148907104
1677,354942,6,1.44,4,47,5,171,17885.5375,3,2.56,0.2553191489361702,-137.89273823877065
1677,354942,7,4.41,4,61,8,183,11404.578802777778,0,-0.41000000000000014,-0.2459016393442623,32.3399148907104
1677,354948,6,1.9599999999999997,4,47,5,171,17885.5375,-5,-1.9599999999999997,0.2553191489361702,-137.89273823877065
1677,466296,7,1.44,4,61,8,183,11404.578802777778,0,-0.43999999999999995,-0.2459016393442623,32.3399148907104
1677,466300,7,4.0,4,61,8,183,11404.578802777778,0,0.0,-0.2459016393442623,32.3399148907104
